年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2012/2/1,-7.6,63,曇
2012/4/11,7.7,71,雨
2012/4/14,6.7,60,晴
2012/4/15,5,70,晴
2012/4/17,6.6,83,雨
2012/4/19,9.2,70,曇
2012/5/4,13.5,91,雨
2012/5/11,8.8,64,曇
2012/5/15,11.7,78,雨
2012/5/16,11.6,87,雨
2012/5/21,13.8,70,晴
2012/5/23,15.4,63,曇
2012/6/6,18,73,雨
2012/6/19,17.5,73,曇
2012/6/21,15.8,71,曇
2012/6/22,14.3,88,雨
2012/6/26,19,69,晴
2012/6/28,21.7,48,晴
2012/7/1,21.5,54,曇
2012/7/12,19.9,93,雨
2012/7/25,23.7,77,曇
2012/7/31,26.5,74,曇
2012/8/5,22.1,84,雨
2012/8/15,22,62,曇
2012/8/19,24,77,曇
2012/8/31,24.8,67,曇
2012/9/3,26.6,69,晴
2012/9/10,22.1,90,雨
2012/9/11,21.8,89,雨
2012/9/24,19.2,70,曇
2012/10/5,16.2,70,曇
2012/10/28,11.1,75,雨
2012/10/30,9.3,78,曇
2012/11/2,9.1,84,雨
2012/11/4,8.6,81,雨
2012/11/6,10.9,82,雨
2012/11/7,10.1,92,雨
2012/11/9,9.8,76,雨
2012/11/14,7.5,79,雨
2012/11/17,6.7,85,雨
2012/12/15,-0.6,69,曇
2013/1/14,-5.3,64,曇
2013/2/1,1.7,72,曇
2013/3/18,4.8,76,雨
2013/4/6,7.4,65,曇
2013/4/17,4.4,81,雨
2013/4/25,8.8,64,雨
2013/4/27,7,83,雨
2013/5/3,4.6,84,雨
2013/5/4,5.9,86,雨
2013/5/5,7.8,79,雨
2013/5/12,10.7,79,曇
2013/5/14,10.3,79,曇
2013/5/15,9.6,80,雨
2013/5/18,12.8,70,曇
2013/5/22,13,81,雨
2013/5/25,13.3,66,曇
2013/5/29,15.3,78,雨
2013/5/31,20.7,52,晴
2013/6/11,20,67,晴
2013/6/12,18.8,66,晴
2013/6/14,20.6,84,雨
2013/6/19,18.3,86,曇
