年月日,平均気温(℃),平均湿度(％),天気概況(昼：06時～18時)
2010/2/7,4.9,34,晴
2013/11/16,12.9,62,晴
2007/9/30,16.8,84,雨
2006/2/5,1.9,31,晴
2019/7/5,21.9,84,曇
2008/11/13,14.9,58,晴
2015/4/13,9.7,89,雨
2017/2/16,7.3,55,晴
2018/10/3,21,77,曇
2012/3/2,7.3,85,雨
2013/3/29,16,75,曇
2001/1/21,4.9,58,晴
2002/5/8,18.4,78,曇
2009/1/4,7.5,31,晴
2002/4/2,19.2,51,晴
2008/2/2,4.8,35,曇
2012/3/23,9.9,70,雨
2004/6/27,23.3,71,曇
2009/10/15,18.1,60,晴
2008/4/18,13.4,88,雨
2010/6/2,19.1,53,晴
2003/1/30,3.9,29,晴
2019/12/12,11.7,62,晴
2009/2/4,7.5,57,曇
2014/2/21,5.5,35,晴
2012/3/17,6.8,84,雨
2012/3/31,14.1,60,雨
2007/6/28,26.5,69,曇
2014/6/11,22.2,88,雨
2016/7/13,25.1,94,雨
2019/5/31,21.6,74,曇
2021/9/19,23.9,74,晴
2005/2/24,7.1,51,曇
2000/12/16,11.7,44,晴
2001/8/13,25.8,77,曇
2014/3/8,5.9,36,晴
2020/10/9,14.5,99,雨
2017/2/2,4.5,33,晴
2003/6/12,21.4,87,雨
2021/1/20,3.9,41,晴
2013/1/27,4.8,29,晴
2004/3/10,12.4,44,晴
2002/12/29,5.1,42,晴
2013/12/19,6.3,89,雨
2001/12/23,7.1,31,晴
2001/4/15,17.1,43,晴
2008/9/15,24.4,74,曇
2015/2/14,4.9,29,晴
2013/3/5,8.4,57,晴
2005/11/22,10.5,52,晴
2019/7/7,19.2,99,雨
2002/3/5,9.1,52,曇
2009/4/11,18.1,49,晴
2015/8/26,19.5,99,雨
2006/7/21,21.4,83,雨
2016/5/12,21.7,53,晴
2019/3/29,7.7,56,曇
2005/11/14,12.9,68,曇
2009/11/12,13.2,65,曇
2018/3/14,14.3,64,晴
2001/7/13,31.6,59,晴
2008/6/27,21.6,68,曇
2015/12/13,10.2,81,雨
2009/12/18,6.2,32,晴
2003/2/21,7.3,36,晴
2000/11/9,12.5,52,曇
2000/4/26,14.3,72,雨
2001/8/12,23.2,84,雨
2019/10/3,24.5,74,曇
2011/9/1,28.5,75,曇
2006/10/16,20.2,48,晴
2017/11/21,7.9,49,晴
2008/5/29,15.8,84,雨
2019/8/23,26.3,94,雨
2013/4/2,10.6,89,雨
2012/10/3,20.7,83,雨
2005/5/1,20,67,曇
2017/1/3,8,54,晴
2021/3/7,7.8,56,曇
2006/1/2,4,66,雨
2016/2/6,6.7,69,曇
2016/3/9,8.7,84,雨
2016/4/15,16.3,31,晴
2016/5/28,19.3,80,曇
2012/11/10,15.7,47,晴
2019/5/14,17.9,81,雨
2019/1/7,5.4,42,晴
2021/7/2,21.2,100,雨
2003/3/29,10.5,42,曇
2001/2/27,8,45,晴
2010/6/13,23.2,65,曇
2002/2/28,10.3,80,雨
2015/7/14,29.9,61,晴
2013/11/9,13.3,66,曇
2005/3/28,11,74,雨
2001/11/19,11.7,44,晴
2000/11/21,17.4,66,曇
2021/5/13,16.1,94,雨
2018/4/28,20.1,51,晴
2015/10/19,19,70,晴
2003/9/30,20.4,36,晴
2006/4/5,11.6,75,雨
2008/12/17,8.8,75,雨
2008/1/21,4.9,43,曇
2003/5/26,17.2,72,曇
2012/6/5,21.7,69,曇
2001/3/25,14.8,74,雨
2017/9/17,19,100,雨
2009/1/16,5,36,晴
2008/7/26,27.9,74,曇
2009/1/3,6.6,37,晴
2006/7/19,21.1,84,雨
2009/12/11,8.1,78,雨
2003/12/3,11.8,51,曇
2009/10/27,19.1,51,晴
2011/12/1,7.8,73,雨
2004/5/10,18.5,86,雨
2010/12/27,7.2,30,晴
2020/6/22,19.2,95,雨
2021/1/1,4.4,40,晴
2009/11/11,17.3,87,雨
2014/9/17,23.3,64,曇
2019/10/13,24.5,53,晴
2012/6/20,26.9,69,曇
2011/2/26,7.2,32,晴
2004/9/29,21.5,83,雨
2015/1/22,4.6,91,雨
2015/11/14,13,92,雨
2015/2/10,3.2,49,晴
2015/12/14,11.6,76,曇
2020/5/19,17.7,97,雨
2018/1/14,4.1,43,晴
2004/2/2,5.8,67,雨
2003/2/1,5.1,29,晴
2018/10/13,17.4,65,曇
2016/1/24,3.3,42,晴
2004/10/4,16.8,88,雨
2003/12/21,7.3,36,晴
2012/9/3,26.9,73,曇
2010/12/5,11.7,53,晴
2000/4/3,10.1,46,曇
2001/9/16,25.8,77,曇
2006/5/21,21.7,44,晴
2014/4/28,18.6,52,曇
2016/3/3,9.2,46,晴
2010/10/30,12.3,81,雨
2016/4/27,18.1,76,曇
2009/5/23,23.2,63,曇
2001/2/4,5.4,33,曇
2006/2/17,7,48,曇
2004/12/15,10.3,54,曇
2020/1/25,7.8,47,曇
2011/3/29,10.9,42,晴
2011/12/22,5.8,57,曇
2012/7/5,26.7,74,曇
2008/4/20,15.7,52,曇
2019/1/3,4.9,49,晴
2016/10/11,17.6,69,曇
2014/4/21,13.4,87,雨
2006/8/4,28.9,60,晴
2005/8/28,25.1,64,曇
2005/4/3,14.9,54,晴
2008/10/8,19,83,雨
2004/3/20,4.8,74,雨
2012/5/21,20.2,63,曇
2000/3/2,7.8,30,晴
2016/9/20,19.1,100,雨
2004/10/15,18.1,48,晴
2015/1/12,5.2,39,晴
2002/4/18,16.3,50,曇
2004/1/28,6.8,40,晴
2010/12/25,5.6,36,晴
2003/4/23,15.5,69,雨
2001/9/24,19.4,56,晴
2020/7/10,25.3,90,雨
2016/9/22,19.4,98,雨
2018/4/5,13.3,71,曇
2020/9/29,19.7,67,曇
2021/4/26,13.4,35,晴
2007/3/1,9,31,晴
2006/3/20,8.5,23,晴
2006/12/30,6.8,28,晴
2001/6/23,22.8,77,曇
2018/3/20,8.4,85,雨
2002/8/10,30.7,57,晴
2015/2/6,5.4,60,晴
2009/4/25,11.2,85,雨
2020/3/25,10,45,晴
2005/10/1,22.5,61,晴
2009/8/8,27.6,77,曇
2003/8/9,27.2,78,雨
2019/1/29,6,39,晴
2005/9/9,25.2,65,曇
2021/7/8,23.7,93,雨
2016/6/12,23.9,70,曇
2011/11/28,12.1,53,曇
2018/3/25,13,62,晴
2001/9/25,20.9,55,晴
2017/2/4,8.2,43,晴
2021/2/16,10.6,38,晴
